Концентрация кислорода (мг/л) в водоемах- объектах мониторинга в 2014г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;;;;;;
12.11.19;9.65;1.95;10.12;2.56;9.73;1.66;6.16;2.95;7.56;4.26;8.27;1.64;8.99;4.06
19.11.19;10.45;2.19;9.8;1.58;9.18;1.12;6.11;1.85;8.97;5.6;9.47;2.44;9.99;6.29
27.11.19;10.03;2.58;8.12;2.03;8.93;0.93;8.34;2.22;7.97;4.67;7.4;3.1;9.46;4.32
05.12.19;6.87;0.67;9.3;1.62;9.46;0.65;8.27;2.01;6.75;4.14;5.07;1.24;10.29;4.14
11.12.19;8.49;1.41;9.87;2.15;9.56;0.71;7.66;3.37;10.7;8.06;5.77;1.77;8.93;4.31
18.12.19;10.74;2.54;8.6;2.15;10.44;0.52;6.12;2.61;8.92;5.56;5.99;3.07;9.43;3.53
25.12.19;8.35;0.89;9.96;2.71;9.6;0.74;8.4;2.54;10.22;1.93;6.2;1.35;10.1;3.66
;;;;;;;;;;;;;;
Концентрация кислорода (мг/л) в водоемах-объектах мониторинга в 2015г.;;;;;;инга в 2020г;;;;;;;;
;;;;;;;;;;;;;;
ДАТА;р.Керженец;БПК-5;р.Вишня;БПК-5;Колодец;БПК-5;оз.Н.Рустайское;БПК-5;оз.Круглое;БПК-5;оз.Моховское;БПК-5;оз.Калачик;БПК-5
09.01.20;8.63;2.09;8.52;2.9;11.7;0.57;6.68;3.59;5.22;2.48;5.19;1.34;6.58;3.23
15.01.20;9.68;2.28;7.77;2.61;10.7;0.6;5.57;2.57;7.3;3.46;9.58;4.48;9.35;5.51
22.01.20;9.18;1.82;7.95;2.53;9.04;0.52;6.29;3.25;8.33;5.68;9.9;2.85;9.47;3.87
30.01.20;9.68;1.36;5.19;1.37;;отр.;9.07;2.99;8.29;3.75;8.08;2.61;5.68;2.77
05.02.20;8.23;2;7.84;3.36;9.98;0.6;7.23;3.99;10.38;5.59;6.82;3.47;5.07;1.78
12.02.20;8.3;1.86;9.2;3.68;10.38;0.83;8.15;3.08;6.76;3.79;7.92;3.02;7.9;3.2
19.02.20;6.98;2.86;7.5;3.6;9.53;1.63;5.8;3.52;5.4;1.6;5.91;3.15;5.63;3.33
27.02.20;5.3;1.38;7.07;3.62;8.6;1.15;6.49;3.26;5.15;2.67;5.77;3.49;4.55;2.37
05.03.20;6.95;2.03;5.29;2.24;8.89;1.89;5.06;3.36;6.89;4.09;5.16;2.96;6.05;3.39
11.03.20;7.4;2.83;6.03;3.37;8.25;1.59;6.45;3.38;7.85;4.9;5.3;2.22;6.95;4.15
30.03.20;8.85;3.18;9.36;2.48;7.72;1.5;9.17;1.77;8.25;5.31;9.3;3.64;9.4;3.47
08.04.20;9.72;1.8;9.92;2.55;8.03;0.53;6.5;2.17;4.9;2.14;4.67;2;7.76;2.67
15.04.20;9.7;2.79;9.33;0.93;8.09;0.82;5.77;1.27;6.72;3.85;8.36;5.06;7.36;4.01
23.04.20;9.64;4.12;9.37;1.1;8.38;1.02;9.2;5.73;7.88;5.21;8.35;6.18;8.03;5.71
